date,home_team,score,away_team
12-08-2023,Arsenal,2 - 1,Nott'm Forest
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Arsenal,2 - 2,Fulham
03-09-2023,Arsenal,3 - 1,Man United
17-09-2023,Everton,0 - 1,Arsenal
24-09-2023,Arsenal,2 - 2,Tottenham
30-09-2023,Bournemouth,0 - 4,Arsenal
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Chelsea,? - ?,Arsenal
12-08-2023,Newcastle,5 - 1,Aston Villa
20-08-2023,Aston Villa,4 - 0,Everton
27-08-2023,Burnley,1 - 3,Aston Villa
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Aston Villa,3 - 1,Crystal Palace
24-09-2023,Chelsea,0 - 1,Aston Villa
30-09-2023,Aston Villa,6 - 1,Brighton
08-10-2023,Wolves,1 - 1,Aston Villa
22-10-2023,Aston Villa,? - ?,West Ham
12-08-2023,Bournemouth,1 - 1,West Ham
19-08-2023,Liverpool,3 - 1,Bournemouth
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Brentford,2 - 2,Bournemouth
17-09-2023,Bournemouth,0 - 0,Chelsea
24-09-2023,Brighton,3 - 1,Bournemouth
30-09-2023,Bournemouth,0 - 4,Arsenal
07-10-2023,Everton,3 - 0,Bournemouth
21-10-2023,Bournemouth,? - ?,Wolves
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Brentford,1 - 1,Crystal Palace
02-09-2023,Brentford,2 - 2,Bournemouth
16-09-2023,Newcastle,1 - 0,Brentford
23-09-2023,Brentford,1 - 3,Everton
01-10-2023,Nott'm Forest,1 - 1,Brentford
07-10-2023,Man United,2 - 1,Brentford
21-10-2023,Brentford,? - ?,Burnley
12-08-2023,Brighton,4 - 1,Luton
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Brighton,1 - 3,West Ham
02-09-2023,Brighton,3 - 1,Newcastle
16-09-2023,Man United,1 - 3,Brighton
24-09-2023,Brighton,3 - 1,Bournemouth
30-09-2023,Aston Villa,6 - 1,Brighton
08-10-2023,Brighton,2 - 2,Liverpool
21-10-2023,Man City,? - ?,Brighton
11-08-2023,Burnley,0 - 3,Man City
27-08-2023,Burnley,1 - 3,Aston Villa
02-09-2023,Burnley,2 - 5,Tottenham
18-09-2023,Nott'm Forest,1 - 1,Burnley
23-09-2023,Burnley,0 - 1,Man United
30-09-2023,Newcastle,2 - 0,Burnley
03-10-2023,Luton,1 - 2,Burnley
07-10-2023,Burnley,1 - 4,Chelsea
21-10-2023,Brentford,? - ?,Burnley
13-08-2023,Chelsea,1 - 1,Liverpool
20-08-2023,West Ham,3 - 1,Chelsea
25-08-2023,Chelsea,3 - 0,Luton
02-09-2023,Chelsea,0 - 1,Nott'm Forest
17-09-2023,Bournemouth,0 - 0,Chelsea
24-09-2023,Chelsea,0 - 1,Aston Villa
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Burnley,1 - 4,Chelsea
21-10-2023,Chelsea,? - ?,Arsenal
12-08-2023,Sheffield United,0 - 1,Crystal Palace
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Brentford,1 - 1,Crystal Palace
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Aston Villa,3 - 1,Crystal Palace
23-09-2023,Crystal Palace,0 - 0,Fulham
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
21-10-2023,Newcastle,? - ?,Crystal Palace
12-08-2023,Everton,0 - 1,Fulham
20-08-2023,Aston Villa,4 - 0,Everton
26-08-2023,Everton,0 - 1,Wolves
02-09-2023,Sheffield United,2 - 2,Everton
17-09-2023,Everton,0 - 1,Arsenal
23-09-2023,Brentford,1 - 3,Everton
30-09-2023,Everton,1 - 2,Luton
07-10-2023,Everton,3 - 0,Bournemouth
21-10-2023,Liverpool,? - ?,Everton
12-08-2023,Everton,0 - 1,Fulham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Arsenal,2 - 2,Fulham
02-09-2023,Man City,5 - 1,Fulham
16-09-2023,Fulham,1 - 0,Luton
23-09-2023,Crystal Palace,0 - 0,Fulham
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Fulham,3 - 1,Sheffield United
23-10-2023,Tottenham,? - ?,Fulham
13-08-2023,Chelsea,1 - 1,Liverpool
19-08-2023,Liverpool,3 - 1,Bournemouth
27-08-2023,Newcastle,1 - 2,Liverpool
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Wolves,1 - 3,Liverpool
24-09-2023,Liverpool,3 - 1,West Ham
30-09-2023,Tottenham,2 - 1,Liverpool
08-10-2023,Brighton,2 - 2,Liverpool
21-10-2023,Liverpool,? - ?,Everton
12-08-2023,Brighton,4 - 1,Luton
25-08-2023,Chelsea,3 - 0,Luton
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,Fulham,1 - 0,Luton
23-09-2023,Luton,1 - 1,Wolves
30-09-2023,Everton,1 - 2,Luton
03-10-2023,Luton,1 - 2,Burnley
07-10-2023,Luton,0 - 1,Tottenham
21-10-2023,Nott'm Forest,? - ?,Luton
11-08-2023,Burnley,0 - 3,Man City
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Man City,5 - 1,Fulham
16-09-2023,West Ham,1 - 3,Man City
23-09-2023,Man City,2 - 0,Nott'm Forest
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Man City,? - ?,Brighton
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Man United,3 - 2,Nott'm Forest
03-09-2023,Arsenal,3 - 1,Man United
16-09-2023,Man United,1 - 3,Brighton
23-09-2023,Burnley,0 - 1,Man United
30-09-2023,Man United,0 - 1,Crystal Palace
07-10-2023,Man United,2 - 1,Brentford
21-10-2023,Sheffield United,? - ?,Man United
12-08-2023,Newcastle,5 - 1,Aston Villa
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Newcastle,1 - 2,Liverpool
02-09-2023,Brighton,3 - 1,Newcastle
16-09-2023,Newcastle,1 - 0,Brentford
24-09-2023,Sheffield United,0 - 8,Newcastle
30-09-2023,Newcastle,2 - 0,Burnley
08-10-2023,West Ham,2 - 2,Newcastle
21-10-2023,Newcastle,? - ?,Crystal Palace
12-08-2023,Arsenal,2 - 1,Nott'm Forest
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
26-08-2023,Man United,3 - 2,Nott'm Forest
02-09-2023,Chelsea,0 - 1,Nott'm Forest
18-09-2023,Nott'm Forest,1 - 1,Burnley
23-09-2023,Man City,2 - 0,Nott'm Forest
01-10-2023,Nott'm Forest,1 - 1,Brentford
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
21-10-2023,Nott'm Forest,? - ?,Luton
12-08-2023,Sheffield United,0 - 1,Crystal Palace
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Sheffield United,2 - 2,Everton
16-09-2023,Tottenham,2 - 1,Sheffield United
24-09-2023,Sheffield United,0 - 8,Newcastle
30-09-2023,West Ham,2 - 0,Sheffield United
07-10-2023,Fulham,3 - 1,Sheffield United
21-10-2023,Sheffield United,? - ?,Man United
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Burnley,2 - 5,Tottenham
16-09-2023,Tottenham,2 - 1,Sheffield United
24-09-2023,Arsenal,2 - 2,Tottenham
30-09-2023,Tottenham,2 - 1,Liverpool
07-10-2023,Luton,0 - 1,Tottenham
23-10-2023,Tottenham,? - ?,Fulham
12-08-2023,Bournemouth,1 - 1,West Ham
20-08-2023,West Ham,3 - 1,Chelsea
26-08-2023,Brighton,1 - 3,West Ham
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,West Ham,1 - 3,Man City
24-09-2023,Liverpool,3 - 1,West Ham
30-09-2023,West Ham,2 - 0,Sheffield United
08-10-2023,West Ham,2 - 2,Newcastle
22-10-2023,Aston Villa,? - ?,West Ham
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Everton,0 - 1,Wolves
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Wolves,1 - 3,Liverpool
23-09-2023,Luton,1 - 1,Wolves
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Wolves,1 - 1,Aston Villa
21-10-2023,Bournemouth,? - ?,Wolves
